scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S3-B,unique,test,2,6692944,nominal
S3-B,unique,test,3,6692945,nominal
S3-B,unique,test,4,6692946,nominal
S3-B,unique,test,5,6692947,nominal
S3-B,unique,test,6,6692948,nominal
S3-B,unique,test,7,6692949,nominal
S3-B,unique,test,8,6692950,nominal
S3-B,unique,test,9,6692951,nominal
S3-B,unique,test,10,6692952,dominant_plus_15pp
S3-B,unique,test,11,6692953,dominant_plus_15pp
S3-B,unique,test,12,6692954,dominant_plus_15pp
S3-B,unique,test,13,6692955,dominant_plus_15pp
S3-B,unique,test,14,6692956,dominant_plus_15pp
S3-B,unique,test,15,6692957,dominant_plus_15pp
S3-B,unique,test,16,6692958,dominant_plus_15pp
S3-B,unique,test,17,6692959,dominant_plus_15pp
S3-B,unique,test,18,6692960,dominant_plus_15pp
S3-B,unique,test,19,6692961,dominant_plus_15pp
S3-B,unique,test,20,6692962,dominant_minus_15pp
S3-B,unique,test,21,6692963,dominant_minus_15pp
S3-B,unique,test,22,6692964,dominant_minus_15pp
S3-B,unique,test,23,6692965,dominant_minus_15pp
S3-B,unique,test,24,6692966,dominant_minus_15pp
S3-B,unique,test,25,6692967,dominant_minus_15pp
S3-B,unique,test,26,6692968,dominant_minus_15pp
S3-B,unique,test,27,6692969,dominant_minus_15pp
S3-B,unique,test,28,6692970,dominant_minus_15pp
S3-B,unique,test,29,6692971,dominant_minus_15pp
S3-B,non_unique,train,,3650000,fixed
S3-B,non_unique,validation,,3652000,fixed
S3-B,non_unique,test,0,4692942,nominal
S3-B,non_unique,test,1,4692943,nominal
S3-B,non_unique,test,2,4692944,nominal
S3-B,non_unique,test,3,4692945,nominal
S3-B,non_unique,test,4,4692946,nominal
S3-B,non_unique,test,5,4692947,nominal
S3-B,non_unique,test,6,4692948,nominal
S3-B,non_unique,test,7,4692949,nominal
S3-B,non_unique,test,8,4692950,nominal
S3-B,non_unique,test,9,4692951,nominal
S3-B,non_unique,test,10,4692952,dominant_plus_15pp
S3-B,non_unique,test,11,4692953,dominant_plus_15pp
S3-B,non_unique,test,12,4692954,dominant_plus_15pp
S3-B,non_unique,test,13,4692955,dominant_plus_15pp
S3-B,non_unique,test,14,4692956,dominant_plus_15pp
S3-B,non_unique,test,15,4692957,dominant_plus_15pp
S3-B,non_unique,test,16,4692958,dominant_plus_15pp
S3-B,non_unique,test,17,4692959,dominant_plus_15pp
S3-B,non_unique,test,18,4692960,dominant_plus_15pp
S3-B,non_unique,test,19,4692961,dominant_plus_15pp
S3-B,non_unique,test,20,4692962,dominant_minus_15pp
S3-B,non_unique,test,21,4692963,dominant_minus_15pp
S3-B,non_unique,test,22,4692964,dominant_minus_15pp
S3-B,non_unique,test,23,4692965,dominant_minus_15pp
S3-B,non_unique,test,24,4692966,dominant_minus_15pp
S3-B,non_unique,test,25,4692967,dominant_minus_15pp
S3-B,non_unique,test,26,4692968,dominant_minus_15pp
S3-B,non_unique,test,27,4692969,dominant_minus_15pp
S3-B,non_unique,test,28,4692970,dominant_minus_15pp
S3-B,non_unique,test,29,4692971,dominant_minus_15pp
S4-A,unique,train,,5660000,fixed
S4-A,unique,validation,,5662000,fixed
S4-A,unique,test,0,6655942,nominal
S4-A,unique,test,1,6655943,nominal
S4-A,unique,test,2,6655944,nominal
S4-A,unique,test,3,6655945,nominal
S4-A,unique,test,4,6655946,nominal
S4-A,unique,test,5,6655947,nominal
